// 28/11/2023 15:55:35
// ReaderName=169.254.1.1, AntennaIDs=1,2,3,4, InventoryMode=DualTarget, ModeIndex=1002, Population=32, PowerInDbm=30, Session=1
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
#2023-11-28T15:55:39.0102085+01:00 GPI Event Port: 1 went: low at 2023-11-28T15:55:39.0081774+01:00
2023-11-28T15:55:39.1208960+01:00;AD3830770CCDD0AD3830029B;;1;-62;865,7;169.254.1.1;;
2023-11-28T15:55:39.1310640+01:00;AD3830770CCDD0AD383001F2;;1;-65;865,7;169.254.1.1;;
2023-11-28T15:55:39.1321290+01:00;AD3830770CCDD0AD383001E4;;1;-65,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.1459680+01:00;AD3830770CCDD0AD38300299;;1;-67,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.1553680+01:00;AD3830770CCDD0AD383001EC;;1;-70,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.1565050+01:00;AD3830770CCDD0AD38300252;;1;-68;865,7;169.254.1.1;;
2023-11-28T15:55:39.1576500+01:00;AD3830770CCDD0AD38300306;;1;-69;865,7;169.254.1.1;;
2023-11-28T15:55:39.1641360+01:00;AD3830770CCDD0AD3830033B;;1;-69;865,7;169.254.1.1;;
2023-11-28T15:55:39.1863280+01:00;AD3830770CCDD0AD38300330;;1;-71,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2230870+01:00;AD3830770CCDD0AD3830023D;;1;-63,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2276230+01:00;AD3830770CCDD0AD38300249;;1;-69;865,7;169.254.1.1;;
#2023-11-28T15:55:39.2597075+01:00 GPI Event Port: 1 went: high at 2023-11-28T15:55:39.2596706+01:00
2023-11-28T15:55:39.2424300+01:00;AD3830770CCDD0AD383002B8;;1;-74,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2473080+01:00;AD3830770CCDD0AD38300229;;1;-73,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2545470+01:00;AD3830770CCDD0AD383001F3;;1;-75,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2665020+01:00;AD3830770CCDD0AD383001F8;;1;-73;865,7;169.254.1.1;;
2023-11-28T15:55:39.2714730+01:00;AD3830770CCDD0AD383001FF;;1;-71,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2746320+01:00;AD3830770CCDD0AD38300201;;1;-74;865,7;169.254.1.1;;
2023-11-28T15:55:39.2778360+01:00;AD3830770CCDD0AD3830032B;;1;-70;865,7;169.254.1.1;;
2023-11-28T15:55:39.2810430+01:00;AD3830770CCDD0AD383001D4;;1;-72,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2841920+01:00;AD3830770CCDD0AD383002F4;;1;-73,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2884850+01:00;AD3830770CCDD0AD38300310;;1;-72;865,7;169.254.1.1;;
2023-11-28T15:55:39.2916650+01:00;AD3830770CCDD0AD3830022A;;1;-71,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2957780+01:00;AD3830770CCDD0AD38300360;;1;-73,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.2995830+01:00;AD3830770CCDD0AD38300257;;1;-72,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.3052180+01:00;AD3830770CCDD0AD3830025C;;1;-76;865,7;169.254.1.1;;
2023-11-28T15:55:39.3220820+01:00;AD3830770CCDD0AD383002AF;;1;-73;865,7;169.254.1.1;;
2023-11-28T15:55:39.3362500+01:00;AD3830770CCDD0AD38300283;;1;-76,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.3426330+01:00;AD3830770CCDD0AD38300230;;1;-72;865,7;169.254.1.1;;
2023-11-28T15:55:39.3486130+01:00;AD3830770CCDD0AD3830046D;;1;-75;865,7;169.254.1.1;;
2023-11-28T15:55:39.3544050+01:00;AD3830770CCDD0AD38300348;;1;-70,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.3669110+01:00;AD3830770CCDD0AD3830027A;;1;-72,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.3800130+01:00;AD3830770CCDD0AD38300498;;1;-74,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.3896890+01:00;AD3830770CCDD0AD38300255;;1;-76;865,7;169.254.1.1;;
2023-11-28T15:55:39.3975100+01:00;AD3830770CCDD0AD38300232;;1;-75;865,7;169.254.1.1;;
2023-11-28T15:55:39.4053050+01:00;AD3830770CCDD0AD38300207;;1;-75,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.4548500+01:00;AD3830770CCDD0AD383002E4;;1;-74,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.4644500+01:00;AD3830770CCDD0AD3830025E;;1;-76;865,7;169.254.1.1;;
2023-11-28T15:55:39.4743830+01:00;AD3830770CCDD0AD383003AE;;1;-75;865,7;169.254.1.1;;
2023-11-28T15:55:39.4886920+01:00;AD3830770CCDD0AD3830026C;;1;-74;865,7;169.254.1.1;;
2023-11-28T15:55:39.4959450+01:00;AD3830770CCDD0AD383001E4;;1;-65,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.4999590+01:00;AD3830770CCDD0AD38300299;;1;-65,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.5010530+01:00;AD3830770CCDD0AD3830033B;;1;-69,5;865,7;169.254.1.1;;
2023-11-28T15:55:39.5041350+01:00;AD3830770CCDD0AD3830023D;;1;-62;865,7;169.254.1.1;;
